expcode,impcode,common_lang,ln_distance,ln_trade
LIBY ARAB JM,BURUNDI,0,3.444414,NA
LIBY ARAB JM,COMOROS,1,3.83051,NA
LIBY ARAB JM,ZAIRE,0,3.267621,NA
LIBY ARAB JM,BENIN,0,3.06323,NA
LIBY ARAB JM,EQ. GUINEA,0,3.179787,NA
LIBY ARAB JM,ETHIOPIA,1,3.296522,7.69257
LIBY ARAB JM,DJIBOUTI,1,3.377448,NA
LIBY ARAB JM,GAMBIA,1,3.56933,NA
LIBY ARAB JM,GHANA,1,3.238486,NA
LIBY ARAB JM,GUINEA,0,3.414897,NA
LIBY ARAB JM,COTE D'IVOIR,0,3.32514,NA
LIBY ARAB JM,KENYA,1,3.462306,NA
LIBY ARAB JM,LIBERIA,1,3.475647,NA
LIBY ARAB JM,MADAGASCAR,0,3.990525,NA
LIBY ARAB JM,MALAWI,1,3.73972,NA
LIBY ARAB JM,MALI,0,3.112279,NA
LIBY ARAB JM,MAURITANIA,1,3.381943,NA
LIBY ARAB JM,MAURITIUS,1,4.107352,NA
LIBY ARAB JM,MOZAMBIQUE,0,3.846869,NA
LIBY ARAB JM,NIGER,0,2.543798,NA
LIBY ARAB JM,NIGERIA,1,2.861793,1.791759
LIBY ARAB JM,GUINEA-BISSA,0,3.673972,NA
LIBY ARAB JM,REUNION,0,4.096447,NA
LIBY ARAB JM,RWANDA,1,3.400085,NA
LIBY ARAB JM,SENEGAL,0,3.493283,NA
LIBY ARAB JM,SEYCHELLES,1,3.885383,NA
LIBY ARAB JM,SIERRA LEONE,1,3.494437,NA
LIBY ARAB JM,SOMALIA,1,3.565049,NA
LIBY ARAB JM,ZIMBABWE,1,3.846741,NA
LIBY ARAB JM,TOGO,0,3.145502,NA
LIBY ARAB JM,UGANDA,1,3.342931,NA
LIBY ARAB JM,UNTD RP TANZ,1,3.579257,NA
LIBY ARAB JM,BURKINA FASO,0,3.112279,NA
LIBY ARAB JM,ZAMBIA,1,3.739085,NA
LIBY ARAB JM,CANADA,1,4.765088,10.22448
LIBY ARAB JM,USA,1,4.742659,10.75922
LIBY ARAB JM,BERMUDA,1,4.407673,3.295837
LIBY ARAB JM,GREENLAND,1,4.302419,NA
LIBY ARAB JM,ARGENTINA,1,4.607266,NA
LIBY ARAB JM,BOLIVIA,0,4.523204,NA
LIBY ARAB JM,BRAZIL,1,4.382729,NA
LIBY ARAB JM,CHILE,0,4.642213,4.844187
LIBY ARAB JM,COLOMBIA,0,4.515727,NA
LIBY ARAB JM,ECUADOR,0,4.587836,NA
LIBY ARAB JM,MEXICO,0,4.779265,NA
LIBY ARAB JM,PARAGUAY,0,4.489141,NA
LIBY ARAB JM,PERU,0,4.59883,NA
LIBY ARAB JM,URUGUAY,0,4.535137,NA
LIBY ARAB JM,VENEZUELA,0,4.439388,3.433987
LIBY ARAB JM,COSTA RICA,0,4.626029,NA
LIBY ARAB JM,EL SALVADOR,0,4.66818,NA
LIBY ARAB JM,GUATEMALA,0,4.67907,NA
LIBY ARAB JM,HONDURAS,0,4.644217,NA
LIBY ARAB JM,NICARAGUA,0,4.631846,NA
LIBY ARAB JM,BAHAMAS,1,4.532632,9.733944
LIBY ARAB JM,BARBADOS,1,4.349539,NA
LIBY ARAB JM,CAYMAN ISLDS,1,4.579512,NA
LIBY ARAB JM,CUBA,0,4.575362,NA
LIBY ARAB JM,DOMINICAN RP,0,4.475878,NA
LIBY ARAB JM,GUADELOUPE (,0,4.37032,NA
LIBY ARAB JM,HAITI,0,4.495553,NA
LIBY ARAB JM,JAMAICA,1,4.551145,NA
LIBY ARAB JM,NETH ANTILLE,1,4.459113,NA
LIBY ARAB JM,ST KITTS NEV,1,4.383496,NA
LIBY ARAB JM,TRINIDAD-TOB,1,4.372562,NA
LIBY ARAB JM,TURKS CAICOS,0,3.818617,NA
LIBY ARAB JM,BELIZE,1,4.663756,NA
LIBY ARAB JM,FRENCH GUIAN,0,4.291584,NA
LIBY ARAB JM,GUYANA,1,4.364213,NA
LIBY ARAB JM,PANAMA,1,4.588133,NA
LIBY ARAB JM,SURINAM,1,4.330214,NA
LIBY ARAB JM,ISRAEL,1,2.939305,NA
LIBY ARAB JM,JAPAN,0,4.799906,8.889171
LIBY ARAB JM,BAHRAIN,1,3.513481,NA
LIBY ARAB JM,CYPRUS,1,2.937465,7.071573
LIBY ARAB JM,IRAN,0,3.602075,NA
LIBY ARAB JM,IRAQ,1,3.337912,NA
LIBY ARAB JM,JORDAN,1,2.991968,NA
LIBY ARAB JM,KUWAIT,1,3.37074,NA
LIBY ARAB JM,LEBANON,1,3.035048,NA
LIBY ARAB JM,OMAN,1,3.693855,NA
LIBY ARAB JM,QATAR,1,3.533793,NA
LIBY ARAB JM,SAUDI ARABIA,1,3.332205,5.988961
LIBY ARAB JM,SYRN ARAB RP,1,3.14671,12.55378
LIBY ARAB JM,UNTD ARAB EM,1,3.611283,NA
LIBY ARAB JM,TURKEY,1,3.126915,13.33878
LIBY ARAB JM,YEMEN,1,3.483484,NA
LIBY ARAB JM,AFGHANISTAN,0,3.884901,NA
LIBY ARAB JM,BANGLADESH,1,4.290553,NA
LIBY ARAB JM,BHUTAN,0,4.297863,NA
LIBY ARAB JM,BRUNEI,1,4.603118,NA
LIBY ARAB JM,MYANMAR (BUR,0,4.395134,NA
LIBY ARAB JM,CAMBODIA,1,4.486549,NA
LIBY ARAB JM,SRI LANKA,1,4.196948,NA
LIBY ARAB JM,HONG KONG,1,4.576828,4.574711
LIBY ARAB JM,INDIA,0,4.097805,10.82445
LIBY ARAB JM,INDONESIA (i,1,4.675442,NA
LIBY ARAB JM,KOREA RP (SO,0,4.710878,11.76369
LIBY ARAB JM,LAOS P.DEM.R,1,4.480491,NA
LIBY ARAB JM,MALAYSIA,1,4.586137,NA
LIBY ARAB JM,MALDIVES,0,4.095602,NA
LIBY ARAB JM,NEPAL,0,4.205694,NA
LIBY ARAB JM,PAKISTAN,0,3.974722,NA
LIBY ARAB JM,PHILIPPINES,1,4.660449,NA
LIBY ARAB JM,SINGAPORE,1,4.499363,2.890372
LIBY ARAB JM,THAILAND,1,4.426046,NA
LIBY ARAB JM,TAIWAN,0,4.644495,10.93395
LIBY ARAB JM,CHINA,0,4.483752,10.21046
LIBY ARAB JM,KOREA D P RP,0,4.709692,NA
LIBY ARAB JM,MONGOLIA,0,4.505029,NA
LIBY ARAB JM,VIETNAM,1,4.493723,NA
LIBY ARAB JM,BELGIUM-LUX.,0,3.36453,11.0035
LIBY ARAB JM,DENMARK (inc,1,3.458853,8.613775
LIBY ARAB JM,FRANCE,0,3.250645,13.55683
LIBY ARAB JM,GERMANY,0,3.284039,14.56656
LIBY ARAB JM,GREECE,1,2.699081,13.22908
LIBY ARAB JM,IRELAND,1,3.625318,4.219508
LIBY ARAB JM,ITALY,0,2.907645,15.0923
LIBY ARAB JM,NETHERLANDS,0,3.391557,13.02647
LIBY ARAB JM,PORTUGAL,0,3.363866,9.12151
LIBY ARAB JM,SPAIN,0,3.250645,13.94007
LIBY ARAB JM,UNITED KINGD,1,3.545871,12.90682
LIBY ARAB JM,AUSTRIA,0,3.119379,12.29248
LIBY ARAB JM,FINLAND,0,3.689504,6.846943
LIBY ARAB JM,ICELAND,1,3.973132,NA
LIBY ARAB JM,NORWAY,0,3.628501,8.903135
LIBY ARAB JM,SWEDEN,0,3.612377,8.726319
LIBY ARAB JM,SWITZERLAND,0,3.168413,12.87387
LIBY ARAB JM,MALTA,1,2.40691,6.214608
LIBY ARAB JM,ALBANIA,0,2.789865,NA
LIBY ARAB JM,BULGARIA,0,2.980503,NA
LIBY ARAB JM,CZECHOSLOVAK,0,3.210659,NA
LIBY ARAB JM,HUNGARY,0,3.100255,10.78546
LIBY ARAB JM,POLAND,0,3.301972,NA
LIBY ARAB JM,ROMANIA,0,3.112279,NA
LIBY ARAB JM,FM YUGOSLAVI,0,2.966123,13.17519
LIBY ARAB JM,FM USSR,0,4.500673,NA
LIBY ARAB JM,AUSTRALIA,1,4.845147,NA
LIBY ARAB JM,NEW ZEALAND,1,5.137612,NA
LIBY ARAB JM,SOLOMON ISLD,0,4.982127,NA
LIBY ARAB JM,FIJI,1,5.098321,NA
LIBY ARAB JM,KIRIBATI (in,1,5.061154,NA
LIBY ARAB JM,NEW CALEDONI,0,5.045742,NA
LIBY ARAB JM,PAPUA N.GUIN,0,4.895187,NA
MOROCCO,SOUTH AFRICA,0,4.212758,NA
MOROCCO,ALGERIA,1,2.191013,5.652489
MOROCCO,LIBY ARAB JM,1,3.139261,10.54668
MOROCCO,WESTERN SAHA,1,2.980503,NA
MOROCCO,SUDAN,1,3.661255,4.007333
MOROCCO,TUNISIA,1,2.649159,9.815311
MOROCCO,EGYPT,1,3.565449,6.553934
